Rank,Word,Is_Compound,Token_Count,Frequency_Score
560,phim,False,1,5.64
561,tàu,False,1,5.64
562,án,False,1,5.64
563,đồ ăn,True,1,5.64
564,dạng,False,1,5.63
565,hôm,False,1,5.63
566,mỗi,False,1,5.63
567,sắc,False,1,5.63
568,trợ,False,1,5.63
569,uống,False,1,5.63
570,đá,False,1,5.63
571,đạt,False,1,5.63
572,đồng hồ,True,1,5.63
573,an toàn,True,1,5.63
574,trọng lượng,True,1,5.63
575,tất nhiên,True,1,5.63
576,dễ,False,1,5.62
577,hộ,False,1,5.62
578,kim,False,1,5.62
579,kiện,False,1,5.62
580,kích,False,1,5.62
581,nghiên,False,1,5.62
582,thuốc,False,1,5.62
583,xa,False,1,5.62
584,đâu,False,1,5.62
585,ngoại,False,1,5.61
586,nhiệt,False,1,5.61
587,sang,False,1,5.61
588,sức,False,1,5.61
589,trái,False,1,5.61
590,trời,False,1,5.61
591,trực,False,1,5.61
592,ty,False,1,5.61
593,vi,False,1,5.61
594,đàn,False,1,5.61
595,độc,False,1,5.61
596,bảo vệ,True,1,5.61
597,tìm hiểu,True,1,5.61
598,chẳng,False,1,5.6
599,hạ,False,1,5.6
600,quy,False,1,5.6
601,trận,False,1,5.6
602,vòng,False,1,5.6
603,vũ,False,1,5.6
604,đau,False,1,5.6
605,đoạn,False,1,5.6
606,đặc biệt,True,1,5.6
607,sáng nay,True,2,5.6
608,cửa hàng,True,1,5.6
609,quyết định,True,1,5.6
610,giám,False,1,5.59
611,gái,False,1,5.59
612,gây,False,1,5.59
613,long,False,1,5.59
614,lễ,False,1,5.59
615,mô,False,1,5.59
616,mùa,False,1,5.59
617,quý,False,1,5.59
618,sân,False,1,5.59
619,the,False,1,5.59
620,thủy,False,1,5.59
621,tiểu,False,1,5.59
622,trò,False,1,5.59
623,tuyệt,False,1,5.59
624,biển cả,True,1,5.59
625,em bé,True,2,5.59
626,đêm qua,True,2,5.59
627,kỳ thi,True,2,5.59
628,cuộc đời,True,1,5.59
629,chúa,False,1,5.58
630,duy,False,1,5.58
631,hạn,False,1,5.58
632,hậu,False,1,5.58
633,lệ,False,1,5.58
634,mặc,False,1,5.58
635,nghị,False,1,5.58
636,nhạc,False,1,5.58
637,phép,False,1,5.58
638,trần,False,1,5.58
639,tuy nhiên,True,1,5.58
640,giải quyết,True,1,5.58
641,trẻ em,True,1,5.58
642,bàn,False,1,5.57
643,chuẩn,False,1,5.57
644,du,False,1,5.57
645,hồng,False,1,5.57
646,khách,False,1,5.57
647,kiếm,False,1,5.57
648,lãnh,False,1,5.57
649,phá,False,1,5.57
650,phạm,False,1,5.57
651,quảng,False,1,5.57
652,đa,False,1,5.57
653,đóng,False,1,5.57
654,đô,False,1,5.57
655,đảng,False,1,5.57
656,mỗi ngày,True,2,5.57
657,chia,False,1,5.56
658,khiến,False,1,5.56
659,mua,False,1,5.56
660,môi,False,1,5.56
661,nhóm,False,1,5.56
662,tuần,False,1,5.56
663,vài,False,1,5.56
664,đôi,False,1,5.56
665,tối nay,True,2,5.56
666,máy bay,True,1,5.56
667,cập,False,1,5.55
668,hưởng,False,1,5.55
669,khai,False,1,5.55
670,khả,False,1,5.55
671,kỹ,False,1,5.55
672,ngủ,False,1,5.55
673,nhé,False,1,5.55
674,nhớ,False,1,5.55
675,trai,False,1,5.55
676,đào,False,1,5.55
677,nước uống,True,2,5.55
678,chạy,False,1,5.54
679,dục,False,1,5.54
680,ghi,False,1,5.54
681,khỏi,False,1,5.54
682,phút,False,1,5.54
683,so,False,1,5.54
684,thắng,False,1,5.54
685,tỷ,False,1,5.54
686,vẻ,False,1,5.54
687,yên,False,1,5.54
688,đứng,False,1,5.54
689,tiếp tục,True,1,5.54
690,tuần này,True,2,5.54
691,doanh,False,1,5.53
692,lợi,False,1,5.53
693,tấn,False,1,5.53
694,vọng,False,1,5.53
695,hải sản,True,1,5.53
696,dù sao,True,2,5.53
697,hồi,False,1,5.52
698,khẩu,False,1,5.52
699,lan,False,1,5.52
700,lớp,False,1,5.52
701,mật,False,1,5.52
702,thiếu,False,1,5.52
703,thoại,False,1,5.52
704,tránh,False,1,5.52
705,tuyến,False,1,5.52
706,tân,False,1,5.52
707,ấn,False,1,5.52
708,thay đổi,True,1,5.52
709,kiến thức,True,1,5.52
710,chuẩn bị,True,1,5.52
711,hôm qua,True,1,5.52
712,chuyên,False,1,5.51
713,hàn,False,1,5.51
714,thảo,False,1,5.51
715,vàng,False,1,5.51
716,áo,False,1,5.51
717,đảo,False,1,5.51
718,đồ dùng,True,1,5.51
719,chỗ,False,1,5.5
720,dung,False,1,5.5
721,dòng,False,1,5.5
722,giảm,False,1,5.5
723,khá,False,1,5.5
724,lo,False,1,5.5
725,lạc,False,1,5.5
726,lệnh,False,1,5.5
727,phản,False,1,5.5
728,vợ,False,1,5.5
729,xử,False,1,5.5
730,ủy,False,1,5.5
731,buổi,False,1,5.49
732,cáo,False,1,5.49
733,cực,False,1,5.49
734,mã,False,1,5.49
735,riêng,False,1,5.49
736,tướng,False,1,5.49
737,lâu rồi,True,2,5.49
738,hoạch,False,1,5.48
739,kỷ,False,1,5.48
740,linh,False,1,5.48
741,may,False,1,5.48
742,máu,False,1,5.48
743,quang,False,1,5.48
744,tiết,False,1,5.48
745,tuyển,False,1,5.48
746,áp,False,1,5.48
747,hôm nay,True,1,5.48
748,ca sĩ,True,1,5.48
749,bác sĩ,True,1,5.48
750,cha,False,1,5.47
751,chút,False,1,5.47
752,cánh,False,1,5.47
753,hát,False,1,5.47
754,hơi,False,1,5.47
755,miền,False,1,5.47
756,ngôi,False,1,5.47
757,nền,False,1,5.47
758,quay,False,1,5.47
759,thúc,False,1,5.47
760,to,False,1,5.47
761,tịch,False,1,5.47
762,quảng trường,True,1,5.47
763,lớp học,True,1,5.47
764,cá biển,True,2,5.47
765,chữ,False,1,5.46
766,hiểm,False,1,5.46
767,hại,False,1,5.46
768,hắn,False,1,5.46
769,khảo,False,1,5.46
770,lê,False,1,5.46
